"btype", "mg","ipow","ttc","ptc","psz"
"0","1.0000000000000001e-07","146000000","2.68","268","1"
"0","1.0000000000000001e-07","146000000","2.65072","265","2"
"0","1.0000000000000001e-07","146000000","2.61074","261","4"
"0","1.0000000000000001e-07","146000000","2.52077","252","8"
"0","1.0000000000000001e-07","146000000","2.37083","237","16"
"0","1.0000000000000001e-07","146000000","2.11096","211","32"
"0","1.0000000000000001e-07","146000000","1.74","174","64"
"0","1.0000000000000001e-07","146000000","1.28173","128","128"
"0","1.0000000000000001e-07","146000000","0.842753","84","256"
"0","1.0000000000000001e-07","146000000","0.494801","49","512"
"0","1.0000000000000001e-07","146000000","0.278897","27","1024"
"0","2.0000000000000002e-07","292000000","5.38071","538","1"
"0","2.0000000000000002e-07","292000000","5.34","534","2"
"0","2.0000000000000002e-07","292000000","5.25074","525","4"
"0","2.0000000000000002e-07","292000000","5.08077","508","8"
"0","2.0000000000000002e-07","292000000","4.77083","477","16"
"0","2.0000000000000002e-07","292000000","4.25096","425","32"
"0","2.0000000000000002e-07","292000000","3.49122","349","64"
"0","2.0000000000000002e-07","292000000","2.57173","257","128"
"0","2.0000000000000002e-07","292000000","1.69275","169","256"
"0","2.0000000000000002e-07","292000000","1.0048","100","512"
"0","2.0000000000000002e-07","292000000","0.558897","55","1024"
"0","3e-07","438000000","8.09071","809","1"
"0","3e-07","438000000","8.02072","802","2"
"0","3e-07","438000000","7.89","789","4"
"0","3e-07","438000000","7.63077","763","8"
"0","3e-07","438000000","7.17","717","16"
"0","3e-07","438000000","6.39096","639","32"
"0","3e-07","438000000","5.25122","525","64"
"0","3e-07","438000000","3.87173","387","128"
"0","3e-07","438000000","2.54","254","256"
"0","3e-07","438000000","1.5048","150","512"
"0","3e-07","438000000","0.828897","82","1024"
"0","4.0000000000000003e-07","584000000","10.8","1080","1"
"0","4.0000000000000003e-07","584000000","10.7007","1070","2"
"0","4.0000000000000003e-07","584000000","10.5207","1052","4"
"0","4.0000000000000003e-07","584000000","10.1808","1018","8"
"0","4.0000000000000003e-07","584000000","9.56083","956","16"
"0","4.0000000000000003e-07","584000000","8.53096","853","32"
"0","4.0000000000000003e-07","584000000","7.01122","701","64"
"0","4.0000000000000003e-07","584000000","5.17","517","128"
"0","4.0000000000000003e-07","584000000","3.38275","338","256"
"0","4.0000000000000003e-07","584000000","2.0048","200","512"
"0","4.0000000000000003e-07","584000000","1.1089","110","1024"
"0","5e-07","730000000","13.5007","1350","1"
"0","5e-07","730000000","13.39","1339","2"
"0","5e-07","730000000","13.1607","1316","4"
"0","5e-07","730000000","12.74","1274","8"
"0","5e-07","730000000","11.9608","1196","16"
"0","5e-07","730000000","10.67","1067","32"
"0","5e-07","730000000","8.76122","876","64"
"0","5e-07","730000000","6.46173","646","128"
"0","5e-07","730000000","4.23275","423","256"
"0","5e-07","730000000","2.5048","250","512"
"0","5e-07","730000000","1.3889","138","1024"
"0","6e-07","876000000","16.2107","1621","1"
"0","6e-07","876000000","16.0707","1607","2"
"0","6e-07","876000000","15.8007","1580","4"
"0","6e-07","876000000","15.2908","1529","8"
"0","6e-07","876000000","14.3608","1436","16"
"0","6e-07","876000000","12.801","1280","32"
"0","6e-07","876000000","10.5212","1052","64"
"0","6e-07","876000000","7.76173","776","128"
"0","6e-07","876000000","5.08275","508","256"
"0","6e-07","876000000","3.0148","301","512"
"0","6e-07","876000000","1.6589","165","1024"
"0","7.000000000000001e-07","1022000000","18.9107","1891","1"
"0","7.000000000000001e-07","1022000000","18.7507","1875","2"
"0","7.000000000000001e-07","1022000000","18.4407","1844","4"
"0","7.000000000000001e-07","1022000000","17.8408","1784","8"
"0","7.000000000000001e-07","1022000000","16.7608","1676","16"
"0","7.000000000000001e-07","1022000000","14.941","1494","32"
"0","7.000000000000001e-07","1022000000","12.2812","1228","64"
"0","7.000000000000001e-07","1022000000","9.05173","905","128"
"0","7.000000000000001e-07","1022000000","5.93275","593","256"
"0","7.000000000000001e-07","1022000000","3.5148","351","512"
"0","7.000000000000001e-07","1022000000","1.9389","193","1024"
"0","8.000000000000001e-07","1168000000","21.6207","2162","1"
"0","8.000000000000001e-07","1168000000","21.44","2144","2"
"0","8.000000000000001e-07","1168000000","21.0807","2108","4"
"0","8.000000000000001e-07","1168000000","20.4","2040","8"
"0","8.000000000000001e-07","1168000000","19.16","1916","16"
"0","8.000000000000001e-07","1168000000","17.081","1708","32"
"0","8.000000000000001e-07","1168000000","14.04","1404","64"
"0","8.000000000000001e-07","1168000000","10.3517","1035","128"
"0","8.000000000000001e-07","1168000000","6.78275","678","256"
"0","8.000000000000001e-07","1168000000","4.0148","401","512"
"0","8.000000000000001e-07","1168000000","2.2189","221","1024"
"0","9.000000000000001e-07","1314000000","24.33","2433","1"
"0","9.000000000000001e-07","1314000000","24.1207","2412","2"
"0","9.000000000000001e-07","1314000000","23.72","2372","4"
"0","9.000000000000001e-07","1314000000","22.9508","2295","8"
"0","9.000000000000001e-07","1314000000","21.5508","2155","16"
"0","9.000000000000001e-07","1314000000","19.221","1922","32"
"0","9.000000000000001e-07","1314000000","15.7912","1579","64"
"0","9.000000000000001e-07","1314000000","11.6417","1164","128"
"0","9.000000000000001e-07","1314000000","7.63275","763","256"
"0","9.000000000000001e-07","1314000000","4.5248","452","512"
"0","9.000000000000001e-07","1314000000","2.4889","248","1024"
"0","1e-06","1460000000","27.0307","2703","1"
"0","1e-06","1460000000","26.8007","2680","2"
"0","1e-06","1460000000","26.3507","2635","4"
"0","1e-06","1460000000","25.5008","2550","8"
"0","1e-06","1460000000","23.9508","2395","16"
"0","1e-06","1460000000","21.36","2136","32"
"0","1e-06","1460000000","17.5512","1755","64"
"0","1e-06","1460000000","12.9417","1294","128"
"0","1e-06","1460000000","8.48275","848","256"
"0","1e-06","1460000000","5.0248","502","512"
"0","1e-06","1460000000","2.7689","276","1024"
"1","1.0000000000000001e-07","400000000","7.38071","738","1"
"1","1.0000000000000001e-07","400000000","7.32072","732","2"
"1","1.0000000000000001e-07","400000000","7.20074","720","4"
"1","1.0000000000000001e-07","400000000","6.97","697","8"
"1","1.0000000000000001e-07","400000000","6.54083","654","16"
"1","1.0000000000000001e-07","400000000","5.83096","583","32"
"1","1.0000000000000001e-07","400000000","4.79122","479","64"
"1","1.0000000000000001e-07","400000000","3.53173","353","128"
"1","1.0000000000000001e-07","400000000","2.31275","231","256"
"1","1.0000000000000001e-07","400000000","1.3748","137","512"
"1","1.0000000000000001e-07","400000000","0.758897","75","1024"
"1","2.0000000000000002e-07","800000000","14.8007","1480","1"
"1","2.0000000000000002e-07","800000000","14.6707","1467","2"
"1","2.0000000000000002e-07","800000000","14.4307","1443","4"
"1","2.0000000000000002e-07","800000000","13.9608","1396","8"
"1","2.0000000000000002e-07","800000000","13.1108","1311","16"
"1","2.0000000000000002e-07","800000000","11.691","1169","32"
"1","2.0000000000000002e-07","800000000","9.61122","961","64"
"1","2.0000000000000002e-07","800000000","7.08173","708","128"
"1","2.0000000000000002e-07","800000000","4.64275","464","256"
"1","2.0000000000000002e-07","800000000","2.7548","275","512"
"1","2.0000000000000002e-07","800000000","1.5189","151","1024"
"1","3e-07","1200000000","22.2107","2221","1"
"1","3e-07","1200000000","22.0207","2202","2"
"1","3e-07","1200000000","21.66","2166","4"
"1","3e-07","1200000000","20.96","2096","8"
"1","3e-07","1200000000","19.6808","1968","16"
"1","3e-07","1200000000","17.551","1755","32"
"1","3e-07","1200000000","14.4212","1442","64"
"1","3e-07","1200000000","10.6317","1063","128"
"1","3e-07","1200000000","6.97275","697","256"
"1","3e-07","1200000000","4.1248","412","512"
"1","3e-07","1200000000","2.2789","227","1024"
"1","4.0000000000000003e-07","1600000000","29.6307","2963","1"
"1","4.0000000000000003e-07","1600000000","29.38","2938","2"
"1","4.0000000000000003e-07","1600000000","28.8807","2888","4"
"1","4.0000000000000003e-07","1600000000","27.9508","2795","8"
"1","4.0000000000000003e-07","1600000000","26.2508","2625","16"
"1","4.0000000000000003e-07","1600000000","23.41","2341","32"
"1","4.0000000000000003e-07","1600000000","19.2312","1923","64"
"1","4.0000000000000003e-07","1600000000","14.1817","1418","128"
"1","4.0000000000000003e-07","1600000000","9.29275","929","256"
"1","4.0000000000000003e-07","1600000000","5.5048","550","512"
"1","4.0000000000000003e-07","1600000000","3.0389","303","1024"
