Attack Type, Packet Size, Initial Energy(joules), Transmission Power(Watts), Reception Power(Watts),Connection Data Rate(bits/sec), Packets Sent, Time to Compromise(seconds)
std,1024,0.125,0.1,0.1,58,1,17.6551724138
rte,1024,0.125,0.1,0.1,58,1,17.6551724138
std,1024,0.125,0.1,0.1,10058,3,0.305428514615
rte,1024,0.125,0.1,0.1,10058,2,0.203619009743
std,1024,0.125,0.1,0.1,20058,5,0.255259746734
rte,1024,0.125,0.1,0.1,20058,3,0.153155848041
std,1024,0.125,0.1,0.1,30058,8,0.272539756471
rte,1024,0.125,0.1,0.1,30058,4,0.136269878235
std,1024,0.125,0.1,0.1,40058,10,0.255629337461
rte,1024,0.125,0.1,0.1,40058,5,0.12781466873
std,1024,0.125,0.1,0.1,50058,13,0.265931519437
rte,1024,0.125,0.1,0.1,50058,7,0.143193895082
std,1024,0.125,0.1,0.1,60058,15,0.25575277232
rte,1024,0.125,0.1,0.1,60058,8,0.136401478571
std,1024,0.125,0.1,0.1,70058,18,0.263096291644
rte,1024,0.125,0.1,0.1,70058,9,0.131548145822
std,1024,0.125,0.1,0.1,80058,20,0.255814534463
rte,1024,0.125,0.1,0.1,80058,10,0.127907267231
std,1024,0.125,0.1,0.9,58,1,17.6551724138
rte,1024,0.125,0.1,0.9,58,1,17.6551724138
std,1024,0.125,0.1,0.9,10058,1,0.101809504872
rte,1024,0.125,0.1,0.9,10058,1,0.101809504872
std,1024,0.125,0.1,0.9,20058,1,0.0510519493469
rte,1024,0.125,0.1,0.9,20058,1,0.0510519493469
std,1024,0.125,0.1,0.9,30058,1,0.0340674695589
rte,1024,0.125,0.1,0.9,30058,1,0.0340674695589
std,1024,0.125,0.1,0.9,40058,2,0.0511258674921
rte,1024,0.125,0.1,0.9,40058,1,0.0255629337461
std,1024,0.125,0.1,0.9,50058,2,0.0409125414519
rte,1024,0.125,0.1,0.9,50058,2,0.0409125414519
std,1024,0.125,0.1,0.9,60058,2,0.0341003696427
rte,1024,0.125,0.1,0.9,60058,2,0.0341003696427
std,1024,0.125,0.1,0.9,70058,2,0.0292329212938
rte,1024,0.125,0.1,0.9,70058,2,0.0292329212938
std,1024,0.125,0.1,0.9,80058,3,0.0383721801694
rte,1024,0.125,0.1,0.9,80058,2,0.0255814534463
std,1024,0.125,0.1,1.7,58,1,17.6551724138
rte,1024,0.125,0.1,1.7,58,1,17.6551724138
std,1024,0.125,0.1,1.7,10058,1,0.101809504872
rte,1024,0.125,0.1,1.7,10058,1,0.101809504872
std,1024,0.125,0.1,1.7,20058,1,0.0510519493469
rte,1024,0.125,0.1,1.7,20058,1,0.0510519493469
std,1024,0.125,0.1,1.7,30058,1,0.0340674695589
rte,1024,0.125,0.1,1.7,30058,1,0.0340674695589
std,1024,0.125,0.1,1.7,40058,1,0.0255629337461
rte,1024,0.125,0.1,1.7,40058,1,0.0255629337461
std,1024,0.125,0.1,1.7,50058,1,0.020456270726
rte,1024,0.125,0.1,1.7,50058,1,0.020456270726
std,1024,0.125,0.1,1.7,60058,1,0.0170501848213
rte,1024,0.125,0.1,1.7,60058,1,0.0170501848213
std,1024,0.125,0.1,1.7,70058,2,0.0292329212938
rte,1024,0.125,0.1,1.7,70058,1,0.0146164606469
std,1024,0.125,0.1,1.7,80058,2,0.0255814534463
rte,1024,0.125,0.1,1.7,80058,2,0.0255814534463
std,1024,0.125,0.1,2.5,58,1,17.6551724138
rte,1024,0.125,0.1,2.5,58,1,17.6551724138
std,1024,0.125,0.1,2.5,10058,1,0.101809504872
rte,1024,0.125,0.1,2.5,10058,1,0.101809504872
std,1024,0.125,0.1,2.5,20058,1,0.0510519493469
rte,1024,0.125,0.1,2.5,20058,1,0.0510519493469
std,1024,0.125,0.1,2.5,30058,1,0.0340674695589
rte,1024,0.125,0.1,2.5,30058,1,0.0340674695589
std,1024,0.125,0.1,2.5,40058,1,0.0255629337461
rte,1024,0.125,0.1,2.5,40058,1,0.0255629337461
std,1024,0.125,0.1,2.5,50058,1,0.020456270726
rte,1024,0.125,0.1,2.5,50058,1,0.020456270726
std,1024,0.125,0.1,2.5,60058,1,0.0170501848213
rte,1024,0.125,0.1,2.5,60058,1,0.0170501848213
std,1024,0.125,0.1,2.5,70058,1,0.0146164606469
rte,1024,0.125,0.1,2.5,70058,1,0.0146164606469
std,1024,0.125,0.1,2.5,80058,1,0.0127907267231
rte,1024,0.125,0.1,2.5,80058,1,0.0127907267231
