Line Number,Attack.Type,Packet.Size,Initial.Energy.joules.,Transmission.Power.Watts.,Reception.Power.Watts.,Connection.Data.Rate.bits.sec.,Packets.Sent,Time.to.Compromise.seconds.
1,std,1024,0.125,0.1,0.1,58,1,17.65517241
2,rte,1024,0.125,0.1,0.1,58,1,17.65517241
3,std,1024,0.125,0.1,0.1,10058,3,0.305428515
4,rte,1024,0.125,0.1,0.1,10058,2,0.20361901
5,std,1024,0.125,0.1,0.1,20058,5,0.255259747
6,rte,1024,0.125,0.1,0.1,20058,3,0.153155848
7,std,1024,0.125,0.1,0.1,30058,8,0.272539756
8,rte,1024,0.125,0.1,0.1,30058,4,0.136269878
9,std,1024,0.125,0.1,0.1,40058,10,0.255629337
10,rte,1024,0.125,0.1,0.1,40058,5,0.127814669
11,std,1024,0.125,0.1,0.1,50058,13,0.265931519
12,rte,1024,0.125,0.1,0.1,50058,7,0.143193895
13,std,1024,0.125,0.1,0.1,60058,15,0.255752772
14,rte,1024,0.125,0.1,0.1,60058,8,0.136401479
15,std,1024,0.125,0.1,0.1,70058,18,0.263096292
16,rte,1024,0.125,0.1,0.1,70058,9,0.131548146
17,std,1024,0.125,0.1,0.1,80058,20,0.255814534
18,rte,1024,0.125,0.1,0.1,80058,10,0.127907267
19,std,1024,0.125,0.1,0.9,58,1,17.65517241
20,rte,1024,0.125,0.1,0.9,58,1,17.65517241
21,std,1024,0.125,0.1,0.9,10058,1,0.101809505
22,rte,1024,0.125,0.1,0.9,10058,1,0.101809505
23,std,1024,0.125,0.1,0.9,20058,1,0.051051949
24,rte,1024,0.125,0.1,0.9,20058,1,0.051051949
25,std,1024,0.125,0.1,0.9,30058,1,0.03406747
26,rte,1024,0.125,0.1,0.9,30058,1,0.03406747
27,std,1024,0.125,0.1,0.9,40058,2,0.051125867
28,rte,1024,0.125,0.1,0.9,40058,1,0.025562934
29,std,1024,0.125,0.1,0.9,50058,2,0.040912541
30,rte,1024,0.125,0.1,0.9,50058,2,0.040912541
31,std,1024,0.125,0.1,0.9,60058,2,0.03410037
32,rte,1024,0.125,0.1,0.9,60058,2,0.03410037
33,std,1024,0.125,0.1,0.9,70058,2,0.029232921
34,rte,1024,0.125,0.1,0.9,70058,2,0.029232921
35,std,1024,0.125,0.1,0.9,80058,3,0.03837218
36,rte,1024,0.125,0.1,0.9,80058,2,0.025581453
37,std,1024,0.125,0.1,1.7,58,1,17.65517241
38,rte,1024,0.125,0.1,1.7,58,1,17.65517241
39,std,1024,0.125,0.1,1.7,10058,1,0.101809505
40,rte,1024,0.125,0.1,1.7,10058,1,0.101809505
41,std,1024,0.125,0.1,1.7,20058,1,0.051051949
42,rte,1024,0.125,0.1,1.7,20058,1,0.051051949
43,std,1024,0.125,0.1,1.7,30058,1,0.03406747
44,rte,1024,0.125,0.1,1.7,30058,1,0.03406747
45,std,1024,0.125,0.1,1.7,40058,1,0.025562934
46,rte,1024,0.125,0.1,1.7,40058,1,0.025562934
47,std,1024,0.125,0.1,1.7,50058,1,0.020456271
48,rte,1024,0.125,0.1,1.7,50058,1,0.020456271
49,std,1024,0.125,0.1,1.7,60058,1,0.017050185
50,rte,1024,0.125,0.1,1.7,60058,1,0.017050185
51,std,1024,0.125,0.1,1.7,70058,2,0.029232921
52,rte,1024,0.125,0.1,1.7,70058,1,0.014616461
53,std,1024,0.125,0.1,1.7,80058,2,0.025581453
54,rte,1024,0.125,0.1,1.7,80058,2,0.025581453
55,std,1024,0.125,0.1,2.5,58,1,17.65517241
56,rte,1024,0.125,0.1,2.5,58,1,17.65517241
57,std,1024,0.125,0.1,2.5,10058,1,0.101809505
58,rte,1024,0.125,0.1,2.5,10058,1,0.101809505
59,std,1024,0.125,0.1,2.5,20058,1,0.051051949
60,rte,1024,0.125,0.1,2.5,20058,1,0.051051949
61,std,1024,0.125,0.1,2.5,30058,1,0.03406747
62,rte,1024,0.125,0.1,2.5,30058,1,0.03406747
63,std,1024,0.125,0.1,2.5,40058,1,0.025562934
64,rte,1024,0.125,0.1,2.5,40058,1,0.025562934
65,std,1024,0.125,0.1,2.5,50058,1,0.020456271
66,rte,1024,0.125,0.1,2.5,50058,1,0.020456271
67,std,1024,0.125,0.1,2.5,60058,1,0.017050185
68,rte,1024,0.125,0.1,2.5,60058,1,0.017050185
69,std,1024,0.125,0.1,2.5,70058,1,0.014616461
70,rte,1024,0.125,0.1,2.5,70058,1,0.014616461
71,std,1024,0.125,0.1,2.5,80058,1,0.012790727
72,rte,1024,0.125,0.1,2.5,80058,1,0.012790727
73,std,1024,0.125,0.1,3.3,58,1,17.65517241
