"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"2",1024,0.125,0.1,0.1,58,1,17.65517241
"4",1024,0.125,0.1,0.1,10058,2,0.20361901
"6",1024,0.125,0.1,0.1,20058,3,0.153155848
"8",1024,0.125,0.1,0.1,30058,4,0.136269878
"10",1024,0.125,0.1,0.1,40058,5,0.127814669
"12",1024,0.125,0.1,0.1,50058,7,0.143193895
"14",1024,0.125,0.1,0.1,60058,8,0.136401479
"16",1024,0.125,0.1,0.1,70058,9,0.131548146
"18",1024,0.125,0.1,0.1,80058,10,0.127907267
"20",1024,0.125,0.1,0.9,58,1,17.65517241
"22",1024,0.125,0.1,0.9,10058,1,0.101809505
"24",1024,0.125,0.1,0.9,20058,1,0.051051949
"26",1024,0.125,0.1,0.9,30058,1,0.03406747
"28",1024,0.125,0.1,0.9,40058,1,0.025562934
"30",1024,0.125,0.1,0.9,50058,2,0.040912541
"32",1024,0.125,0.1,0.9,60058,2,0.03410037
"34",1024,0.125,0.1,0.9,70058,2,0.029232921
"36",1024,0.125,0.1,0.9,80058,2,0.025581453
"38",1024,0.125,0.1,1.7,58,1,17.65517241
"40",1024,0.125,0.1,1.7,10058,1,0.101809505
"42",1024,0.125,0.1,1.7,20058,1,0.051051949
"44",1024,0.125,0.1,1.7,30058,1,0.03406747
"46",1024,0.125,0.1,1.7,40058,1,0.025562934
"48",1024,0.125,0.1,1.7,50058,1,0.020456271
"50",1024,0.125,0.1,1.7,60058,1,0.017050185
"52",1024,0.125,0.1,1.7,70058,1,0.014616461
"54",1024,0.125,0.1,1.7,80058,2,0.025581453
"56",1024,0.125,0.1,2.5,58,1,17.65517241
"58",1024,0.125,0.1,2.5,10058,1,0.101809505
"60",1024,0.125,0.1,2.5,20058,1,0.051051949
"62",1024,0.125,0.1,2.5,30058,1,0.03406747
"64",1024,0.125,0.1,2.5,40058,1,0.025562934
"66",1024,0.125,0.1,2.5,50058,1,0.020456271
"68",1024,0.125,0.1,2.5,60058,1,0.017050185
"70",1024,0.125,0.1,2.5,70058,1,0.014616461
"72",1024,0.125,0.1,2.5,80058,1,0.012790727
"74",1024,0.125,0.1,3.3,58,1,17.65517241
"76",1024,0.125,0.1,3.3,10058,1,0.101809505
"78",1024,0.125,0.1,3.3,20058,1,0.051051949
"80",1024,0.125,0.1,3.3,30058,1,0.03406747
"82",1024,0.125,0.1,3.3,40058,1,0.025562934
"84",1024,0.125,0.1,3.3,50058,1,0.020456271
"86",1024,0.125,0.1,3.3,60058,1,0.017050185
"88",1024,0.125,0.1,3.3,70058,1,0.014616461
"90",1024,0.125,0.1,3.3,80058,1,0.012790727
"92",1024,0.125,0.1,4.1,58,1,17.65517241
"94",1024,0.125,0.1,4.1,10058,1,0.101809505
"96",1024,0.125,0.1,4.1,20058,1,0.051051949
"98",1024,0.125,0.1,4.1,30058,1,0.03406747
"100",1024,0.125,0.1,4.1,40058,1,0.025562934
"102",1024,0.125,0.1,4.1,50058,1,0.020456271
"104",1024,0.125,0.1,4.1,60058,1,0.017050185
"106",1024,0.125,0.1,4.1,70058,1,0.014616461
"108",1024,0.125,0.1,4.1,80058,1,0.012790727
"110",1024,0.125,0.1,4.9,58,1,17.65517241
"112",1024,0.125,0.1,4.9,10058,1,0.101809505
