"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"1",1024,0.125,0.1,0.1,58,1,17.65517241
"3",1024,0.125,0.1,0.1,10058,3,0.305428515
"5",1024,0.125,0.1,0.1,20058,5,0.255259747
"7",1024,0.125,0.1,0.1,30058,8,0.272539756
"9",1024,0.125,0.1,0.1,40058,10,0.255629337
"11",1024,0.125,0.1,0.1,50058,13,0.265931519
"13",1024,0.125,0.1,0.1,60058,15,0.255752772
"15",1024,0.125,0.1,0.1,70058,18,0.263096292
"17",1024,0.125,0.1,0.1,80058,20,0.255814534
"19",1024,0.125,0.1,0.9,58,1,17.65517241
"21",1024,0.125,0.1,0.9,10058,1,0.101809505
"23",1024,0.125,0.1,0.9,20058,1,0.051051949
"25",1024,0.125,0.1,0.9,30058,1,0.03406747
"27",1024,0.125,0.1,0.9,40058,2,0.051125867
"29",1024,0.125,0.1,0.9,50058,2,0.040912541
"31",1024,0.125,0.1,0.9,60058,2,0.03410037
"33",1024,0.125,0.1,0.9,70058,2,0.029232921
"35",1024,0.125,0.1,0.9,80058,3,0.03837218
"37",1024,0.125,0.1,1.7,58,1,17.65517241
"39",1024,0.125,0.1,1.7,10058,1,0.101809505
"41",1024,0.125,0.1,1.7,20058,1,0.051051949
"43",1024,0.125,0.1,1.7,30058,1,0.03406747
"45",1024,0.125,0.1,1.7,40058,1,0.025562934
"47",1024,0.125,0.1,1.7,50058,1,0.020456271
"49",1024,0.125,0.1,1.7,60058,1,0.017050185
"51",1024,0.125,0.1,1.7,70058,2,0.029232921
"53",1024,0.125,0.1,1.7,80058,2,0.025581453
"55",1024,0.125,0.1,2.5,58,1,17.65517241
"57",1024,0.125,0.1,2.5,10058,1,0.101809505
"59",1024,0.125,0.1,2.5,20058,1,0.051051949
"61",1024,0.125,0.1,2.5,30058,1,0.03406747
"63",1024,0.125,0.1,2.5,40058,1,0.025562934
"65",1024,0.125,0.1,2.5,50058,1,0.020456271
"67",1024,0.125,0.1,2.5,60058,1,0.017050185
"69",1024,0.125,0.1,2.5,70058,1,0.014616461
"71",1024,0.125,0.1,2.5,80058,1,0.012790727
"73",1024,0.125,0.1,3.3,58,1,17.65517241
"75",1024,0.125,0.1,3.3,10058,1,0.101809505
"77",1024,0.125,0.1,3.3,20058,1,0.051051949
"79",1024,0.125,0.1,3.3,30058,1,0.03406747
"81",1024,0.125,0.1,3.3,40058,1,0.025562934
"83",1024,0.125,0.1,3.3,50058,1,0.020456271
"85",1024,0.125,0.1,3.3,60058,1,0.017050185
"87",1024,0.125,0.1,3.3,70058,1,0.014616461
"89",1024,0.125,0.1,3.3,80058,1,0.012790727
"91",1024,0.125,0.1,4.1,58,1,17.65517241
"93",1024,0.125,0.1,4.1,10058,1,0.101809505
"95",1024,0.125,0.1,4.1,20058,1,0.051051949
"97",1024,0.125,0.1,4.1,30058,1,0.03406747
"99",1024,0.125,0.1,4.1,40058,1,0.025562934
"101",1024,0.125,0.1,4.1,50058,1,0.020456271
